SPS: 102
Market Return : 59.13%   |   Portfolio Return : 13.60%   |   position : -1   |   portfolio_valuation : 1135.9579248763212   |
Market Return : 59.13%   |   Portfolio Return : -30.00%   |   position : 0   |   portfolio_valuation : 700.0068704393057   |
Market Return : 59.13%   |   Portfolio Return : -19.20%   |   position : -1   |   portfolio_valuation : 808.0433844765644   |
Market Return : 59.13%   |   Portfolio Return : -27.78%   |   position : 0   |   portfolio_valuation : 722.1849172105436   |
Market Return : 59.13%   |   Portfolio Return : -7.64%   |   position : -1   |   portfolio_valuation : 923.5753997899844   |
Market Return : 59.13%   |   Portfolio Return : 29.10%   |   position : 0   |   portfolio_valuation : 1290.969573172222   |
Market Return : 59.13%   |   Portfolio Return : -28.48%   |   position : -1   |   portfolio_valuation : 715.2198185079295   |
Market Return : 59.13%   |   Portfolio Return : 16.74%   |   position : 0   |   portfolio_valuation : 1167.4489754071196   |
Market Return : 59.13%   |   Portfolio Return : -46.41%   |   position : 0   |   portfolio_valuation : 535.8586551277707   |
Market Return : 59.13%   |   Portfolio Return : -13.36%   |   position : -1   |   portfolio_valuation : 866.3512892763221   |
Market Return : 59.13%   |   Portfolio Return :  0.68%   |   position : -1   |   portfolio_valuation : 1006.7540369933415   |
Market Return : 59.13%   |   Portfolio Return : -11.27%   |   position : -1   |   portfolio_valuation : 887.3355920028516   |
Market Return : 59.13%   |   Portfolio Return : 25.37%   |   position : 0   |   portfolio_valuation : 1253.6957691814232   |
Market Return : 59.13%   |   Portfolio Return : -38.55%   |   position : 0   |   portfolio_valuation : 614.4900317304064   |
Market Return : 59.13%   |   Portfolio Return : -21.07%   |   position : 0   |   portfolio_valuation : 789.2561613541451   |
Market Return : 59.13%   |   Portfolio Return :  0.81%   |   position : 1   |   portfolio_valuation : 1008.1489994932086   |
Market Return : 59.13%   |   Portfolio Return : -51.06%   |   position : 1   |   portfolio_valuation : 489.374551222296   |
Market Return : 59.13%   |   Portfolio Return : -9.24%   |   position : -1   |   portfolio_valuation : 907.6040164915054   |
Market Return : 59.13%   |   Portfolio Return : -22.21%   |   position : 0   |   portfolio_valuation : 777.8982896062537   |
Market Return : 59.13%   |   Portfolio Return : 51.32%   |   position : 1   |   portfolio_valuation : 1513.2006447332044   |
Market Return : 59.13%   |   Portfolio Return :  5.76%   |   position : 1   |   portfolio_valuation : 1057.6337238850404   |
Market Return : 59.13%   |   Portfolio Return : -1.42%   |   position : 0   |   portfolio_valuation : 985.8216322800599   |
Market Return : 59.13%   |   Portfolio Return : 17.56%   |   position : 0   |   portfolio_valuation : 1175.6376288878234   |
Market Return : 59.13%   |   Portfolio Return : -16.04%   |   position : -1   |   portfolio_valuation : 839.6225632047299   |
Market Return : 59.13%   |   Portfolio Return : -25.66%   |   position : 0   |   portfolio_valuation : 743.3986172006657   |
Market Return : 59.13%   |   Portfolio Return : 22.69%   |   position : -1   |   portfolio_valuation : 1226.8561758025041   |
Market Return : 59.13%   |   Portfolio Return : -32.25%   |   position : 1   |   portfolio_valuation : 677.4651051374179   |
Market Return : 59.13%   |   Portfolio Return : -32.85%   |   position : 1   |   portfolio_valuation : 671.4756733711064   |
Market Return : 59.13%   |   Portfolio Return : 15.18%   |   position : 1   |   portfolio_valuation : 1151.786000559542   |
Market Return : 59.13%   |   Portfolio Return : 11.03%   |   position : 0   |   portfolio_valuation : 1110.3136562289208   |
Market Return : 59.13%   |   Portfolio Return : -21.11%   |   position : -1   |   portfolio_valuation : 788.9453726426315   |
Market Return : 59.13%   |   Portfolio Return : -13.19%   |   position : 0   |   portfolio_valuation : 868.0729983218786   |
Market Return : 59.13%   |   Portfolio Return :  7.32%   |   position : 0   |   portfolio_valuation : 1073.230380403241   |
Market Return : 59.13%   |   Portfolio Return :  1.18%   |   position : 1   |   portfolio_valuation : 1011.8229571745295   |
Market Return : 59.13%   |   Portfolio Return : -23.00%   |   position : -1   |   portfolio_valuation : 769.9878828818662   |
Market Return : 59.13%   |   Portfolio Return :  9.49%   |   position : -1   |   portfolio_valuation : 1094.929507364646   |
Market Return : 59.13%   |   Portfolio Return : 14.76%   |   position : -1   |   portfolio_valuation : 1147.6489435859507   |
Market Return : 59.13%   |   Portfolio Return : -45.04%   |   position : -1   |   portfolio_valuation : 549.616473969778   |
Market Return : 59.13%   |   Portfolio Return : -20.99%   |   position : -1   |   portfolio_valuation : 790.0865983491399   |
Market Return : 59.13%   |   Portfolio Return : 12.71%   |   position : -1   |   portfolio_valuation : 1127.059220470591   |
Market Return : 59.13%   |   Portfolio Return : -32.10%   |   position : 1   |   portfolio_valuation : 679.0448249377878   |
Market Return : 59.13%   |   Portfolio Return : -28.37%   |   position : 1   |   portfolio_valuation : 716.2779616377417   |
Market Return : 59.13%   |   Portfolio Return : -32.63%   |   position : 0   |   portfolio_valuation : 673.6923164898534   |
Market Return : 59.13%   |   Portfolio Return : -29.07%   |   position : 0   |   portfolio_valuation : 709.3216884119068   |
Market Return : 59.13%   |   Portfolio Return :  1.33%   |   position : 1   |   portfolio_valuation : 1013.310587311389   |
Market Return : 59.13%   |   Portfolio Return : -50.93%   |   position : -1   |   portfolio_valuation : 490.66962255888035   |
Market Return : 59.13%   |   Portfolio Return : -6.67%   |   position : -1   |   portfolio_valuation : 933.2643482812526   |
Market Return : 59.13%   |   Portfolio Return :  2.74%   |   position : 0   |   portfolio_valuation : 1027.422252031111   |
Market Return : 59.13%   |   Portfolio Return : -23.79%   |   position : 1   |   portfolio_valuation : 762.0865045591135   |
Market Return : 59.13%   |   Portfolio Return : 42.72%   |   position : 0   |   portfolio_valuation : 1427.208760351633   |
Market Return : 59.13%   |   Portfolio Return : -7.51%   |   position : -1   |   portfolio_valuation : 924.8522464047313   |
Market Return : 59.13%   |   Portfolio Return : -2.44%   |   position : -1   |   portfolio_valuation : 975.600862719317   |
Market Return : 59.13%   |   Portfolio Return : 43.30%   |   position : 1   |   portfolio_valuation : 1432.9879077137157   |
Market Return : 59.13%   |   Portfolio Return : -33.69%   |   position : -1   |   portfolio_valuation : 663.0660714562937   |
Market Return : 59.13%   |   Portfolio Return : 23.67%   |   position : -1   |   portfolio_valuation : 1236.7460118758152   |
